Blog No., Title, Subtitle, Date, Link, Content
1,Snapshot: Supporting Canadians and stabilizing our economy,"Throughout this pandemic, Justin Trudeau and the Liberal government have been working hard to make sure you and your family are safe and supported during this challenging time.","
								July 8, 2020								",https://liberal.ca/fiscal-snapshot/,"Snapshot: Supporting Canadians and stabilizing our economy									


								July 8, 2020								


										Share									







Throughout this pandemic, Justin Trudeau and the Liberal government have been working hard to make sure you and your family are safe and supported during this challenging time.
The fiscal snapshot presented by Bill Morneau today highlights how Justin Trudeau and the Liberal government have been able to stabilize the economy and keep Canadians supported. 
This support is the largest peacetime investment in Canada’s history, and has allowed millions of Canadian families and businesses to keep receiving income during a time of uncertainty.
Here are few highlights of how Canadian families, workers, and small businesses are being supported, by the numbers:

More than 8.16 million people have received support from the Canada Emergency Response Benefit, providing $2,000 a month to Canadians who have lost their income due to COVID-19.



3.7 million Canadian families received a special one-time $300 top-up of the Canada Child Benefit for each child (and the Canada Child Benefit is increasing again this month to help with the high costs of raising kids).


3 million employees have been supported by the Canada Emergency Wage Subsidy, by helping them stay in the workforce or return to work.


12 million low and modest income individuals and families received a special one-time payment through the GST credit. On average, single adults received $400 in additional benefits, and couples almost $600.


More than 600,000 students have received the Canada Emergency Student Benefit, providing $1,250 per month for eligible students (and $2,000 per month to those with dependents or a disability).


6.7 million seniors are receiving a one-time tax-free payment of $300, and those who are also eligible for the GIS are also receiving an additional $200.


More than 688,000 applicants have been approved for the Canada Emergency Business Account, to help ensure small businesses can keep our economy strong through this difficult time.

Learn more on our blog about the steps the Liberal government is taking to keep Canadians safe, healthy, and supported throughout the COVID-19 pandemic.
The health and safety of Canadians is our top priority. As our economy gradually and safely reopens, our Liberal government will continue to ensure that Canadians have the support they need.
We’ll get through this together — and as Justin Trudeau has said, you can be sure that our country will come roaring back.
For the latest details on stopping the spread of COVID-19 and Canada’s whole-of-government response, you can also check out Canada.ca/Coronavirus.
FAQs: Keeping Canadians supported through the impacts of COVID-19
Thank you for your support and wishing you and your loved ones all the best,
– Liberal Party of Canada

[  NOTE: All figures updated as of early July, 2020. The Government of Canada’s Fiscal Snapshot was presented on July 8, 2020 ]"
2,Justin Trudeau’s address to Parliament on anti-Black racism in Canada,"We must stand together against racism, discrimination, and injustice so that we can build a better and more equitable Canada.","
								June 2, 2020								",https://liberal.ca/justin-trudeaus-address-to-parliament-on-anti-black-racism-in-canada/,"Justin Trudeau’s address to Parliament on anti-Black racism in Canada									


								June 2, 2020								


										Share									
















Check against delivery
June 2, 2020
I rise today to address what so many people of colour live with every day.
Over the past few days, we’ve seen horrific reports of police violence against Black men and women south of the border.
But these are not isolated incidents or elsewhere problems.
Prejudice, discrimination, and violence is a lived reality for far too many people.
It is the result of systems which far too often condone, normalize, perpetrate, and perpetuate inequality and injustice against people of colour.
As a country, we are not concerned bystanders simply watching what is happening next door.
We are part of it.
The calls for justice, for equality, for peace, have found echo in our communities because anti-Black racism is also happening here.
Everywhere in Canada.
Every single day. 
This is something that our own staff, Cabinet ministers, and colleagues face even in these halls.
Over the past few days, I’ve heard many of these personal stories directly from them.
And I’m not just talking about acts of violence. I’m also talking about microaggressions, which many of us may not even see.
That is the daily reality of far too many racialized Canadians. And it needs to stop.
When it comes to being an ally, I have made serious mistakes in the past – mistakes which I deeply regret, and continue to learn from.
And I want to thank my colleagues, community leaders, and fellow Canadians for opening my eyes to what is really going on in our communities and helping me better understand both privilege and power.
I’m not perfect.
But not being perfect is not a free pass to not do the right thing.
It’s not an excuse to not step up.
To stand up for each other, to be an ally.
I know that for so many people listening right now, the last thing you want to hear is another speech on racism from a white politician.
I’m not here today to describe a reality I do not know or speak to a pain I have not felt. 
I’m here because I want you to know that our government is listening.
We hear your calls for justice, equality, and accountability.
We acknowledge your frustration, your anger, your heartbreak.
We see you.
Since taking office, our government has taken concrete action to fight anti-Black racism, systemic discrimination, and injustice across the country.
We have worked with communities to recognize and address injustices.
We’ve taken action to support community organizations, invest in better data, and fight racism.
For example, we have provided $9 million to support programs for young Black Canadians.
We have made significant investments to help the Public Health Agency of Canada provide more mental health services to those who have experienced racism or intergenerational trauma.
We are helping community organizations obtain funding to buy equipment or rent space.
And we have created the Anti-Racism Secretariat, which has a $4.6 million budget to eliminate systemic barriers that perpetuate injustice, notably in employment, justice, and social participation.
And while we’ve made some progress, there is still so much more to do.
Because here are the facts in Canada.
Anti-Black racism is real.
Unconscious bias is real.
Systemic discrimination is real.
For millions of Canadians, it is their daily, lived reality.
The pain and damage it causes is real, too.  
Mr. Speaker, every Canadian who has felt the weight of oppression, every student who has the courage to demand a better future, every person who marches and posts and reads and fights from Vancouver to Montréal to Halifax expects more than the status quo.
They expect more and deserve better.
The Government of Canada has a lot of work to do, but we are ready.
We are ready to work with our opposition colleagues, community leaders, and Canadians to make our country fairer and more equal.
Racism never has a place in our society.
And we will do everything we can to eradicate it from coast to coast.
Thank you, Mr. Speaker."
3,COVID-19 Response: More support for Canadian seniors,"No Canadian should have to choose between putting food on the table, filling their prescriptions, or paying their bills.","
								May 12, 2020								",https://liberal.ca/covid-19-response-more-support-for-canadian-seniors/,"COVID-19 Response: More support for Canadian seniors									


								May 12, 2020								


										Share									







Canada’s seniors helped shape this country. They’ve been there for us, and now we need to be there for them.
Right now, many Canadian seniors are facing significant health, economic, and social challenges because of COVID-19. That’s why Justin Trudeau has announced new measures from the Liberal government to provide greater financial security for seniors to get through this challenging time.
This new support includes:

Investing $2.5 billion to provide a one-time tax-free payment of $300 for seniors eligible for the Old Age Security pension, and an additional $200 for those eligible for the Guaranteed Income Supplement (GIS). This means up to $500 for seniors who are eligible for both.


Expanding the New Horizons for Seniors Program, and investing $20 million in financial support for organizations that offer community-based projects to create even more programs across Canada to help seniors maintain or improve their social support network


Temporarily extending GIS and Allowance payments for qualifying seniors whose 2019 income has not been assessed, to make sure vulnerable seniors continue receiving their benefits when they need them most.

Read more about the Prime Minister’s announcement.
There’s no question that COVID-19 has taken its toll on seniors emotionally and financially. Today’s announcements build on the Liberal government’s previously-announced steps to support Canada’s seniors through the effects of COVID-19, such as:

Introducing the Canada Emergency Response Benefit for eligible workers, including seniors, who have lost their income as a result of COVID-19
Providing seniors flexibility with their Registered Retirement Income Funds by reducing minimum withdrawals
Investments in community organizations that provide immediate essential services, such as the delivery of groceries, medicine, and other needed items.

More than 4 million seniors also benefited from April’s one-time special payment through the GST credit, which provided an average of $375 for single seniors and $510 for senior couples — and the Liberal government has also invested in community organizations that provide practical services to seniors, including the delivery of groceries and medications.
Learn more about how the government is helping vulnerable Canadians. 
Whether it’s for details on physical distancing, prevention measures, or more, Canada.ca/Coronavirus has the most up-to-date information and resources to help keep you and your loved ones safe and prepared.
Thank you for your support and wishing you and your loved ones all the best,
– Liberal Party of Canada"
4,The Latest,Here’s a quick breakdown some of the steps our Liberal government is taking to help Canadians get through this together.,"
								April 24, 2020								",https://liberal.ca/the-latest/,"The Latest									


								April 24, 2020								


										Share									







Here’s a quick update.
We are all adapting to big new changes in our daily lives to keep each other safe from COVID-19, and so many Canadian families, workers, and businesses face real concerns about making ends meet. That’s why Justin Trudeau and the Liberal government are taking strong action to ensure that you and your loved ones are supported through this difficult time.
Here’s a quick breakdown of some of the steps our Liberal government is taking to help Canadians get through this together:
Canada Emergency Wage Subsidy:

A 75% wage subsidy available for businesses, big and small, that are not publicly funded and have seen a 30% or more decline in gross revenues. That includes everything from bars and restaurants, to charities and non-profits. Applications are now open through CRA.

Canada Emergency Response Benefit:

Providing $2,000 a month to workers who lose their income as a result of COVID-19. It doesn’t matter whether you worked full time, on contract, or were self-employed – you qualify. And as announced on April 15, Canadians who are earning less than $1000/month, were expecting seasonal work that now isn’t coming because of COVID-19, and those who have exhausted their EI benefits since January 1st, 2020 also qualify. Get all the details and apply for the benefit here. 

Guaranteed loans available to support businesses of all sizes:

If your business is struggling with cash flow due to COVID-19, the Liberal government is working to help you access credit more easily.
Find out how you can access these loans here.

$2 billion to support diagnostic testing, and purchase ventilators and personal protective equipment:


Personal protective equipment includes things like more masks and face shields, gowns, and hand sanitizer.

Investing more than $1 billion in support of a national medical research strategy to fight COVID-19:

Including vaccine development, the production of treatments, and tracking of the virus. This funding builds on the $275 million investment for coronavirus research and medical countermeasures previously announced. Learn more about this significant investment here.

More support for Canadian seniors:

Investing $2.5 billion to provide a one-time tax-free payment of up to $500 for those eligible for the Old Age Security (OAS) pension and the Guaranteed Income Supplement (GIS).
Expanding the New Horizons for Seniors Program, and investing $20 million in financial support for organizations that offer community-based projects to create even more programs across Canada to help seniors maintain or improve their social support network.
Temporarily extending GIS and Allowance payments for qualifying seniors whose 2019 income has not been assessed.
Click here for more details.

New funding and measures to support our most vulnerable people and communities:

Including crucial funding for Canadians experiencing homelessness, children and young people, and seniors impacted by COVID-19.
$350 million Emergency Community Support Fund to support charities and non-profits in their important work and get vulnerable Canadians the resources they need. More details here.

Additional support for students and new grads:

Introducing the Canada Emergency Student Benefit, providing support to students and new graduates who are not eligible for the CERB. This benefit will provide $1,250 per month for eligible students or $2,000 per month for eligible students with dependents or disabilities and will be available from May to August 2020.
Introducing the Canada Student Service Grant, which will help students gain valuable work experience and skills while they help their communities during the COVID‑19 pandemic.
Doubling the Canada Student Grants, broadening eligibility for student financial assistance, enhancing the Canada Student Loans Program, and more. Get all the details here. 

Targeted support for small and medium-sized businesses, and rural businesses:

$675 million to give financing support to small and medium-sized businesses that are not eligible for the measures already announced or that have specific needs, through Canada’s Regional Development Agencies
$287 million to support rural businesses and communities, including by providing them with much-needed access to capital through the Community Futures Program

And much more. See more of our updates here.
The health, safety, and well-being of Canadians is always our top priority. I’m deeply grateful for the sacrifices and hard work that so many of you are taking on to keep your families, neighbours, and communities safe.
It will take all of us doing our part to stop the spread of COVID-19 and support those in need, and I know that’s exactly how we will get through this – together.
And as always, for the latest details on stopping the spread of COVID-19 and Canada’s whole-of-government response, you can also check out Canada.ca/Coronavirus.
FAQs: Supporting Canadians and responding to COVID-19
* Please note: this page has been continually updated to reflect new announcements and additional information (first published: April 2, 2020)."
5,Survey: Your Movement 2020,"We want to hear from you: What tools do you need to connect with your community online about our progress, help organize strong volunteer teams virtually, and keep growing our Liberal movement in every part of Canada?","
								April 23, 2020								",https://liberal.ca/survey-your-movement-2020/,"Survey: Your Movement 2020									


								April 23, 2020								


										Share									







I know there’s been nothing ordinary about these past few weeks – and I hope that you and your loved ones are keeping safe and healthy through it all.
Over these past six weeks, our entire focus as a party has been on getting out the crucial information and announcements that Canadians need so we can get through this difficult time together. That will continue to be our priority, and our Liberal government will continue doing everything possible to support Canadian workers, families, and businesses.
Right now, nothing about our daily lives is the same. That’s part of why it’s hard to believe that this week marks exactly six months since Election Day 2019, when Canadians voted to give Justin Trudeau and our Liberal team a new mandate to keep Canada moving forward.
It’s National Volunteer Week, too – and both milestones have me thinking about the incredible hope of hard work of the 90,000+ Liberal volunteers who made more than 21 million knocks and calls on the road to E-Day.
That’s why LPC President Suzanne Cowan, M.P. Omar Alghabra, and I joined EDA Chairs and other grassroots Liberal leaders from across Canada last week for a conversation about our government’s progress and our work to engage Canadians in our Liberal movement throughout 2020 and beyond.
Now we want to hear from you in our new Your Movement 2020 Survey.
While our teams and supporters can’t gather in person for now, the need to keep building a better future for all Canadians means our democratic engagement work is more important than ever.
You’re at the heart of this team. We want to hear from you about what tools you need to connect with your community online about our progress, to help us organize strong Liberal volunteer teams virtually, and to keep growing our open and inclusive movement in every part of Canada.
Take the Your Movement 2020 Survey
It only takes 2 minutes, and our whole team is looking forward to your thoughts.
Thanks for your support and ideas, and all my best.
Azam Ishmael
National Director, Liberal Party of Canada"
6,COVID-19 Response: Help for students and recent grads,"Whether you’ve recently graduated and were looking forward to starting your career, or you’re still in school and counting on summer employment to pay tuition, or pursuing a national service opportunity – the Liberal government has your back.","
								April 22, 2020								",https://liberal.ca/covid-19-response-help-for-students-and-recent-grads/,"COVID-19 Response: Help for students and recent grads									


								April 22, 2020								


										Share									







As Canadians continue working together to fight the spread of COVID-19, our government’s number one priority is ensuring that all Canadians are safe, healthy, and supported — including young Canadians.
Canada’s prosperity depends on young Canadians getting the education and the experience they need to succeed in today’s labour market, and students will define our path forward towards a better, more equal society. But that can be tough when there aren’t as many jobs, and when students are finding it hard to pay for tuition or day-to-day basics.
Our Liberal government is doing whatever it takes to help Canadians get through this difficult time, and no one should have to choose between taking action against COVID-19 and their education. That’s why today Justin Trudeau announced nearly $9 billion of comprehensive support to help students and recent grads:
Canada Emergency Student Benefit (CESB)

For students and recent graduates not covered by the Canada Emergency Response Benefit, this benefit would provide $1,250 per month from May through August for eligible students, and $1,750 for students with dependents or permanent disabilities. The Liberal government will be working with opposition parties to move forward on legislation to put this new Benefit in place.

Canada Student Service Grant (CSSG)

To help students gain valuable work experience and help their communities throughout the COVID-19 pandemic, this grant will provide up to $5,000 for a student’s education in the fall for students who choose to work in national service positions and serve their community.

Creating 76,000 jobs for young people in addition to the Canada Summer Jobs program, in sectors that need an extra hand right now or that are on the frontlines of this pandemic.
Doubling the Canada Students Grants Program for the 2020-2021 school year (and granting funding to support Quebec, Nunavut, and the Northwest Territories through their existing financial assistance programs for students).
Broadening the eligibility for Student Financial Assistance

This includes removing the expected student’s and spouse’s contributions for 2020-2021.

Enhancing the Canada Student Loans Program

Raising the maximum amount that can be provided from $210 to $350.

Over $75 million to increase support specifically for First Nations, Inuit, and Metis Nation students.
Extending expiring federal graduate research scholarships and postdoctoral fellowships as well as federal research grants, by providing $291.6 million to the federal granting councils.
These significant new supports will help young Canadians get through this difficult time and play a central role in ensuring Canada emerges from these challenges stronger than ever.
Ensuring that our youth have the skills and experience they need to succeed in today’s ever-changing labour market is key to strengthening our economy, building a more inclusive Canada, and ensuring that no one is left behind.
For more details on the Liberal government’s plan to support students and recent grads, please see the Prime Minister’s full news release.
You can also find out more about the strong action that the Liberal government is taking to support families, workers, businesses, and vulnerable Canadians affected by the COVID-19 crisis by reading about Canada’s Economic Response Plan, and seeing if you are eligible for support like the Canada Emergency Response Benefit.
Whether it’s for details on physical distancing, prevention, info for returning travelers, or more, you can also visit Canada.ca/Coronavirus for the most up-to-date information and resources to help keep you and your loved ones safe and prepared.
Thank you for your involvement and support, and all our best to you and your loved ones.
– Liberal Party of Canada"
7,Justin Trudeau updates Parliament on Canada’s response to COVID-19,"Even as we stand apart, we stand united in our resolve to do what we must until COVID-19 is defeated.","
								April 11, 2020								",https://liberal.ca/justin-trudeau-updates-parliament-on-canadas-response-to-covid-19/,"Justin Trudeau updates Parliament on Canada’s response to COVID-19									


								April 11, 2020								


										Share									
















Check against delivery
April 11, 2020
Mr. Speaker –
I rise here, in this moment, in this House, as our generation faces its greatest challenge yet. We all stand on the shoulders of those who came before us. Of all those Canadians who saw our nation through difficult, tumultuous times. 
Il y a 103 ans aujourd’hui, des jeunes soldats canadiens se trouvaient dans des tranchées en France, à des milliers de kilomètres de chez eux.
Le lendemain, ils prendraient d’assaut la cote 145 et participeraient à la dernière bataille de la crête de Vimy. Aujourd’hui, à l’aube de ce sombre anniversaire, nous nous souvenons de leur courage et de leur sacrifice. Nous nous souvenons des soldats qui ont façonné le pays que nous connaissons.
20 years later, many would be sent to the front again. On the evening of November 14  1940, my grandfather, the young MP from Vancouver North, rose in his seat to speak to the war effort, but first thanked all those senior members who allowed him to speak before them, because his leave from the RCAF had expired that night, and he was to ship out soon.
Jimmy Sinclair would spend the next three and a half years in Europe and North Africa, far from his young family, far from his work in this House of Commons, far from his constituents in BC, serving his country in the best way he knew how. He would return to the chamber in early 1944, a few months before D-Day, to exhort Canadians to continue with the sacrifices and efforts required to win.
“This is the year which will decide a rapid victory or a long and protracted war; a year when our fighting men must be given every conceivable aid and support and encouragement by every man, woman and child in Canada, no matter the personal cost.”
These were trials that shaped our country, and more, our citizens. And now, once again, we are being tried. But Mr. Speaker – this is not a war. That doesn’t make this fight any less destructive, any less dangerous. But there is no front line marked with barbed wire. No soldiers to be deployed across the ocean. No enemy combatants to defeat.
Instead, the front line is everywhere. In our homes.  In our hospitals and care centers. In our grocery stores and pharmacies. At our truck stops and gas stations. And the people who work in these places are our modern-day heroes.
Separated from their family, risking their own health – they head to work every day so that we can eat. So that we can heal. So that we can do our part. Because every one of us has a role to play in helping shield our country from the threat it now faces.
In hard times, courage and strength are not defined by what we say or do loudly, in public, but by the actions we take quietly, in private. Like staying home.
Even as we stand apart, we stand united in our resolve to do what we must until COVID-19 is defeated.
Monsieur le président, nous sommes ici aujourd’hui pour faire adopter la Subvention salariale d’urgence. Il s’agit de la politique économique canadienne la plus importante depuis la Deuxième Guerre mondiale. Cette subvention va permettre aux Canadiens de garder leur emploi et un chèque de paie pendant cette crise. C’est ce sur quoi nous voterons cet après-midi. 
Cette subvention s’appuie sur les démarches déjà entreprises pour venir en aide aux Canadiens, comme l’offre de prêts garantis aux petites entreprises et la Prestation canadienne d’urgence pour ceux qui ont perdu leur emploi.
Encore une fois, dans cette Chambre, nous sommes appelés à soutenir ceux qui sont dans le besoin et je sais que nous ne les laisserons pas tomber.
Mr. Speaker – As Canada confronts this crisis, we are all called to serve. To fight for and alongside each of our fellow citizens. To fight for someone’s mother. Someone’s grandfather. Someone’s neighbour. 
Our job as Canadians is to uphold the dignity and sanctity of every single human life – whether they be rich or poor, young or old, ailing or healthy. That is our duty.
Without reservation, without pause, we must fight for every inch of ground against this disease. We must be there for each other as we spare no effort to safeguard our collective future. 
Au cours des prochaines semaines et des prochains mois, nous ferons face à de nombreux obstacles. Nous traverserons d’autres moments incertains. La peur et l’inquiétude continueront de faire partie de notre quotidien. Et malheureusement, nous pleurerons ensemble la perte des nôtres.
Même si nous prenons toutes les précautions nécessaires, la situation risque d’empirer avant de s’améliorer. C’est la triste réalité à laquelle notre pays est confronté.
Notre détermination à en finir avec ce virus – notre engagement à veiller les uns sur les autres – seront mis à l’épreuve. Mais je sais que nous sommes à la hauteur du défi devant nous.
Canadians are among the most fortunate people on earth. Despite the challenges we have yet to overcome, despite the wrongs we have yet to right – ours is a country where we look out for one another. Where we take care of each other. 
That generosity of spirit and compassion was alive long before this virus reached our shores and it will survive long after it’s gone, because this is who we are.
Monsieur le Président, notre pays est en deuil. Trop de familles ont perdu un être cher en raison de cette pandémie. Cette maladie est d’autant plus cruelle puisqu’elle nous empêche de se rassembler pour pleurer la perte de ceux qui nous ont quittés et de célébrer leur vie entre amis et en famille.
Au nom de tous les Canadiens, j’offre mes plus sincères condoléances à ceux qui ont perdu un proche.
However this holiday weekend also marks the coming of rebirth and new life. Easter is a time when Christians honour the Passion, sacrifice and resurrection of Jesus of Nazareth – and his teachings of compassion, forgiveness and love. 
Passover is a time when Jews recall the covenant made by God with the people of Abraham, Isaac and Jacob, Sarah, Rebecca, Rachel, and Leah. And the heroism of Moses who led his people from bondage to freedom.
Vaishaki is a time when Sikhs and Hindus celebrate the new year and the spring harvest. And even for those who are not celebrating, Spring is always a time for renewal. These moments remind us that love, courage, and fortitude are the antidote to despair. That there is no challenge we can’t overcome together.
Durant ce long weekend, prenons un engagement entre nous de faire ce qui s’impose aussi longtemps qu’il le faudra. Et dans cette Chambre, faisons notre part pour remplir cet engagement. Prenons nos responsabilités et venons en aide à ceux qui sont dans le besoin.
Mr Speaker, as I stand here today, I think of the young men who died taking Vimy Ridge. I think of the Greatest Generation, who grew up during the Depression and fought through the Second World War. They showed us how to fight for what we believe in and how to sacrifice for what we hold dear.
Today, across this country, the last members of the Greatest Generation live in nursing homes and long-term care facilities. In their small apartments and in the houses they built so long ago, with their own hands.
They are the most threatened by this disease. They fought for us, all those years ago, and today, we will fight for them. We will show ourselves to be worthy of this beautiful country they built.
And for them, and for their grandchildren, we will endure, we will persevere, and we will prevail."
8,COVID-19: Supporting those who need it most,"Providing additional support to food banks and food organizations — so they can keep helping vulnerable Canadians get the food they need, when they need it most.","
								April 3, 2020								",https://liberal.ca/covid-19-supporting-those-who-need-it-most/,"COVID-19: Supporting those who need it most									


								April 3, 2020								


										Share									







Today, Justin Trudeau announced our Liberal government’s latest step to support Canadians impacted by the COVID-19 outbreak.
The government will provide $100 million to food banks and food organizations across Canada to help meet the urgent food needs of vulnerable Canadians, including:

$50 million to Food Banks Canada
$20 million divided evenly between Salvation Army, Second Harvest, Community Food Centres Canada, and Breakfast Club of Canada
$30 million for local-level organizations who serve people experiencing food insecurity

As many Canadians turn to these vital organizations to feed their families, and with fewer donations and volunteers to count on, it’s more important than ever to make sure they have the necessary resources to keep helping people in our communities.
This new funding, delivered through the Government of Canada’s Local Food Infrastructure Fund, will provide more of the support these organizations need to bring food and other necessities to the people and communities experiencing food insecurity. That includes support for the purchasing, transportation, and distribution of food, hiring temporary help to fill volunteer shortages, and steps such as the purchase of personal protective equipment to reduce the spread of COVID-19 among volunteers and clients.
This new announcement  builds on the Liberal government’s continued commitment to supporting the most vulnerable, including crucial funding announced earlier this week for Canadians experiencing homelessness, children and young people, and seniors impacted by COVID-19.
For more details, please see the Prime Minister’s full news release.
From coast to coast to coast, Canadians like you have also stepped up to help keep your family, friends, and community safe and healthy. To those of you who have supported organizations that provide relief for the many Canadians facing food insecurity: thank you — and thank you to all frontline workers stepping up at this important moment. 
If you have not yet given to a food bank, and have the capacity to do so, please consider giving today. Your support can make a big difference! You can visit FoodBanksCanada.ca as one option for more information on how to help.
Last week, our government also announced that it will be covering 75% of wages for qualifying businesses and non-profits, as well as providing $2,000 a month for the next 4 months to Canadians who lose their income because of COVID-19, through the new Canada Emergency Response Benefit. 
Here you can find a summary of the latest measures to help ensure that you and your loved ones are supported through this difficult time.
FAQs: Supporting Canadians and responding to COVID-19
Thank you from all of us, and all my best.
Braeden Caley
Senior Director, Communications
Liberal Party of Canada
P.S. As always, for the latest details on stopping the spread of COVID-19 and Canada’s whole-of-government response, you can also check out Canada.ca/Coronavirus."
9,Together,"Supporting the most vulnerable — including crucial funding for Canadians experiencing homelessness, children and young people, and seniors impacted by COVID-19.","
								March 31, 2020								",https://liberal.ca/together/,"Together									


								March 31, 2020								


										Share									







Navigating these uncertain times can be challenging.
Adjusting to both my daughters’ and my own new schedule at home has been a different reality for our family. But while the COVID-19 pandemic is affecting all of us in different ways, some people and communities are hit much harder and faster than others, and are more at risk to its impacts.
This week Justin Trudeau announced new measures to support the most vulnerable, including crucial funding for Canadians experiencing homelessness, children and young people, and seniors impacted by COVID-19. So many community organizations across Canada are delivering critical services to those who need it most, and our Liberal government is committed to supporting them in that work. Together, we’ll get through this.
While so many have been stepping up in important ways, I’m especially touched but not at all surprised to be hearing from so many Liberal supporters across the country who are taking the lead in their community or chipping in to local non-profits to help our most vulnerable. To all of you – thank you and keep it up.
And if you or your loved ones are among the countless frontline health care workers, first responders, grocery store employees, pharmacists, truck drivers, transit operators, researchers, essential service providers, and so many other Canadians who are working to keep us all safe and healthy, we are all tremendously grateful.
For those workers, families, and businesses who find themselves wondering what steps they’ll need to take to make ends meet, our government has announced it will be covering 75% of wages for qualifying businesses and non-profits, providing $2,000 a month for the next 4 months through the new Canada Emergency Response Benefit to workers who lose their income as a result of COVID-19, and much more.
If you’re looking for the latest details on COVID-19, Canada’s whole-of-government response, and support for Canadians in the weeks and months ahead, you can also check out Canada.ca/Coronavirus.
FAQs: Supporting Canadians and responding to COVID-19
Now is a time to take care of yourself and those around you, and to never forget that we’re all in this together.
Wishing you and your loved ones well,
Suzanne Cowan
President, Liberal Party of Canada"
10,COVID-19: Supporting Canadian small businesses,"Helping Canadian businesses and workers through this difficult time, and ensuring that our economy remains strong in the face of adversity.","
								March 27, 2020								",https://liberal.ca/covid-19-supporting-canadian-small-businesses/,"COVID-19: Supporting Canadian small businesses									


								March 27, 2020								


										Share									







Small businesses are the backbone of Canada’s economy, supporting millions of jobs and making our communities better places to live. Now though, many are facing difficult decisions and are worried about the months ahead — as they face economic hardship or uncertainty as a result of COVID-19.
That’s why today, Justin Trudeau announced more measures the Liberal government is taking as part of the COVID-19 Economic Response Plan to help Canadian businesses and workers through this difficult time, and ensure that our economy remains strong in the face of adversity. 
Together, these steps will allow companies to keep more Canadians on the payroll, or think about hiring them back.
Some highlights of these new steps include:


75% wage subsidy for qualifying businesses through the Canada Emergency Wage Subsidy
Backdated to March 15 — to support businesses, and help keep Canadian workers on the payroll. For companies whose revenue has decreased by at least 30% due to COVID-19 – including everything from bars and restaurants, to charities and non-profits. This subsidy is applicable to the first $58,700 of an employee’s salary – which means up to $847 per week*. Applications are now open through CRA.
Launching the new Canada Emergency Business Account
Allowing banks to offer $40,000 government-guaranteed loans to qualifying businesses, interest-free for the first year.
$12.5 Billion in funding through Export Development Canada and Business Development Bank
To help businesses apply for guaranteed loans through their financial institutions to weather the impacts of COVID-19.
Deferring HST/GST Payments, as well as duties and taxes owed on imports, until June
To help businesses use that money to cover immediate needs instead.

For more details, please see the Prime Minister’s full news release detailing these new measures, or watch today’s announcement here.
Canada’s Economic Response Plan is taking strong action to help Canadian workers, families, and businesses get through this. We’re all in this together, and the Liberal government will continue to work around the clock to ensure all Canadians and small businesses get the support they need to weather this crisis.

Whether it’s for details on physical distancing, prevention, info for returning travelers, or more, you can also visit Canada.ca/Coronavirus for the most up-to-date information and resources to help keep you and your loved ones safe and prepared.
Thank you for all you are doing to help Canadians get through this together, and all our best.
– Liberal Party of Canada
* As of March 30, 2020, this post has been updated to include more details on the Canada Emergency Wage Subsidy"
