Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.3594103208050652
100% Corpus,2,0.01,0.31,0.334847142665033
100% Corpus,2,0.01,0.61,0.334847142665033
100% Corpus,2,0.01,0.9099999999999999,0.35941032080506524
100% Corpus,2,0.01,symmetric,0.3348471426650331
100% Corpus,2,0.31,0.01,0.37068047237700696
100% Corpus,2,0.31,0.31,0.3594103208050652
100% Corpus,2,0.31,0.61,0.334847142665033
100% Corpus,2,0.31,0.9099999999999999,0.34760695833119426
100% Corpus,2,0.31,symmetric,0.334847142665033
100% Corpus,2,0.61,0.01,0.37068047237700696
100% Corpus,2,0.61,0.31,0.35941032080506524
100% Corpus,2,0.61,0.61,0.35941032080506524
100% Corpus,2,0.61,0.9099999999999999,0.3476069583311943
100% Corpus,2,0.61,symmetric,0.35941032080506524
100% Corpus,2,0.9099999999999999,0.01,0.37068047237700696
100% Corpus,2,0.9099999999999999,0.31,0.35941032080506524
100% Corpus,2,0.9099999999999999,0.61,0.35941032080506524
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.34760695833119426
100% Corpus,2,0.9099999999999999,symmetric,0.3594103208050652
100% Corpus,2,symmetric,0.01,0.37068047237700696
100% Corpus,2,symmetric,0.31,0.35941032080506524
100% Corpus,2,symmetric,0.61,0.35941032080506524
100% Corpus,2,symmetric,0.9099999999999999,0.3476069583311943
100% Corpus,2,symmetric,symmetric,0.35941032080506524
100% Corpus,2,asymmetric,0.01,0.370680472377007
100% Corpus,2,asymmetric,0.31,0.3594103208050652
100% Corpus,2,asymmetric,0.61,0.3594103208050652
100% Corpus,2,asymmetric,0.9099999999999999,0.35941032080506524
100% Corpus,2,asymmetric,symmetric,0.3594103208050652
100% Corpus,3,0.01,0.01,0.37433428902141475
100% Corpus,3,0.01,0.31,0.3757267798298349
100% Corpus,3,0.01,0.61,0.3643287821006052
100% Corpus,3,0.01,0.9099999999999999,0.37896833261841695
100% Corpus,3,0.01,symmetric,0.3757267798298349
100% Corpus,3,0.31,0.01,0.3743342890214148
100% Corpus,3,0.31,0.31,0.37572677982983477
100% Corpus,3,0.31,0.61,0.3643287821006052
100% Corpus,3,0.31,0.9099999999999999,0.37896833261841695
100% Corpus,3,0.31,symmetric,0.37572677982983477
100% Corpus,3,0.61,0.01,0.373375242395595
100% Corpus,3,0.61,0.31,0.37269104475217385
100% Corpus,3,0.61,0.61,0.34622158447480245
100% Corpus,3,0.61,0.9099999999999999,0.37103914958483775
100% Corpus,3,0.61,symmetric,0.3726910447521738
100% Corpus,3,0.9099999999999999,0.01,0.373375242395595
100% Corpus,3,0.9099999999999999,0.31,0.37572677982983477
100% Corpus,3,0.9099999999999999,0.61,0.3462215844748024
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.37103914958483775
100% Corpus,3,0.9099999999999999,symmetric,0.37572677982983477
100% Corpus,3,symmetric,0.01,0.3743342890214148
100% Corpus,3,symmetric,0.31,0.37572677982983477
100% Corpus,3,symmetric,0.61,0.3643287821006052
100% Corpus,3,symmetric,0.9099999999999999,0.37896833261841695
100% Corpus,3,symmetric,symmetric,0.37572677982983477
100% Corpus,3,asymmetric,0.01,0.3619635617201629
100% Corpus,3,asymmetric,0.31,0.36050727617156325
100% Corpus,3,asymmetric,0.61,0.3677401878752618
100% Corpus,3,asymmetric,0.9099999999999999,0.35607085750938655
100% Corpus,3,asymmetric,symmetric,0.36050727617156325
100% Corpus,4,0.01,0.01,0.4079428602347873
100% Corpus,4,0.01,0.31,0.391817240340531
100% Corpus,4,0.01,0.61,0.422120167023347
100% Corpus,4,0.01,0.9099999999999999,0.4263184308493988
100% Corpus,4,0.01,symmetric,0.3892490338440756
100% Corpus,4,0.31,0.01,0.41164649210121695
100% Corpus,4,0.31,0.31,0.3993714828431809
100% Corpus,4,0.31,0.61,0.4263688471389828
100% Corpus,4,0.31,0.9099999999999999,0.4253200920302858
100% Corpus,4,0.31,symmetric,0.399371482843181
100% Corpus,4,0.61,0.01,0.36941869980924985
100% Corpus,4,0.61,0.31,0.37764921130530527
100% Corpus,4,0.61,0.61,0.4325146090727109
100% Corpus,4,0.61,0.9099999999999999,0.43457635215254153
100% Corpus,4,0.61,symmetric,0.372861972547602
100% Corpus,4,0.9099999999999999,0.01,0.36802911763342905
100% Corpus,4,0.9099999999999999,0.31,0.372861972547602
100% Corpus,4,0.9099999999999999,0.61,0.377202699377383
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4843738657837496
100% Corpus,4,0.9099999999999999,symmetric,0.372861972547602
